date,UNRATE,CPIAUCSL,FEDFUNDS,NASDAQCOM,RGDP,CRNT_ACCT,HOUSING,LABOR_FRC,MINIMUM_WAGE,YOUTH_UNEM
1999-01-31,4.3,164.7,4.63,2505.89,44600.0,-60838,1748,139003,5.15,9.79399967193604
1999-02-28,4.4,164.7,4.76,2288.03,44600.0,-60838,1670,138967,5.15,9.79399967193604
1999-03-31,4.2,164.8,4.81,2461.40,44600.0,-60838,1710,138730,5.15,9.79399967193604
1999-04-30,4.3,165.9,4.74,2542.85,44820.0,-67957,1553,138959,5.15,9.79399967193604
1999-05-31,4.2,166.0,4.74,.,44820.0,-67957,1611,139107,5.15,9.79399967193604
1999-06-30,4.3,166.0,4.76,2686.12,44820.0,-67957,1559,139329,5.15,9.79399967193604
1999-07-31,4.3,166.7,4.99,2638.49,45263.0,-76129,1669,139439,5.15,9.79399967193604
1999-08-31,4.2,167.1,5.07,2739.35,45263.0,-76129,1648,139430,5.15,9.79399967193604
1999-09-30,4.2,167.8,5.22,2746.16,45263.0,-76129,1635,139622,5.15,9.79399967193604
1999-10-31,4.1,168.1,5.20,2966.43,45894.0,-81685,1608,139771,5.15,9.79399967193604
1999-11-30,4.1,168.4,5.42,3336.16,45894.0,-81685,1648,140025,5.15,9.79399967193604
1999-12-31,4.0,168.8,5.30,4069.31,45894.0,-81685,1708,140177,5.15,9.79399967193604
2000-01-31,4.0,169.3,5.45,3940.35,45944.0,-94772,1636,142267,5.15,9.21100044250488
2000-02-29,4.1,170.0,5.73,4696.69,45944.0,-94772,1737,142456,5.15,9.21100044250488
2000-03-31,4.0,171.0,5.85,4572.83,45944.0,-94772,1604,142434,5.15,9.21100044250488
2000-04-30,3.8,170.9,6.02,3860.66,46669.0,-96392,1626,142751,5.15,9.21100044250488
2000-05-31,4.0,171.2,6.27,3400.91,46669.0,-96392,1575,142388,5.15,9.21100044250488
2000-06-30,4.0,172.2,6.53,3966.11,46669.0,-96392,1559,142591,5.15,9.21100044250488
2000-07-31,4.0,172.7,6.54,3766.99,46605.0,-104474,1463,142278,5.15,9.21100044250488
2000-08-31,4.1,172.7,6.50,4206.35,46605.0,-104474,1541,142514,5.15,9.21100044250488
2000-09-30,3.9,173.6,6.52,3672.82,46605.0,-104474,1507,142518,5.15,9.21100044250488
2000-10-31,3.9,173.9,6.51,3369.63,46771.0,-106279,1549,142622,5.15,9.21100044250488
2000-11-30,3.9,174.2,6.51,2597.93,46771.0,-106279,1551,142962,5.15,9.21100044250488
2000-12-31,3.9,174.6,6.40,2470.52,46771.0,-106279,1532,143248,5.15,9.21100044250488
2001-01-31,4.2,175.6,5.98,2772.73,46531.0,-107136,1600,143800,5.15,10.4440002441406
2001-02-28,4.2,176.0,5.49,2151.83,46531.0,-107136,1625,143701,5.15,10.4440002441406
2001-03-31,4.3,176.1,5.31,1840.26,46531.0,-107136,1590,143924,5.15,10.4440002441406
2001-04-30,4.4,176.4,4.8,2116.24,46693.0,-95251,1649,143569,5.15,10.4440002441406
2001-05-31,4.3,177.3,4.21,2110.49,46693.0,-95251,1605,143318,5.15,10.4440002441406
2001-06-30,4.5,177.7,3.97,2160.54,46693.0,-95251,1636,143357,5.15,10.4440002441406
2001-07-31,4.6,177.4,3.77,2027.13,46378.0,-103435,1670,143654,5.15,10.4440002441406
2001-08-31,4.9,177.4,3.65,1805.43,46378.0,-103435,1567,143284,5.15,10.4440002441406
2001-09-30,5.0,178.1,3.07,1498.80,46378.0,-103435,1562,143989,5.15,10.4440002441406
2001-10-31,5.3,177.6,2.49,1690.20,46386.0,-88263,1540,144086,5.15,10.4440002441406
2001-11-30,5.5,177.5,2.09,1930.58,46386.0,-88263,1602,144240,5.15,10.4440002441406
2001-12-31,5.7,177.4,1.82,1950.40,46386.0,-88263,1568,144305,5.15,10.4440002441406
2002-01-31,5.7,177.7,1.73,1934.03,46690.0,-102608,1698,143883,5.15,11.8970003128052
2002-02-28,5.7,178.0,1.74,1731.49,46690.0,-102608,1829,144653,5.15,11.8970003128052
2002-03-31,5.7,178.5,1.73,.,46690.0,-102608,1642,144481,5.15,11.8970003128052
2002-04-30,5.9,179.3,1.75,1688.23,46868.0,-114669,1592,144725,5.15,11.8970003128052
2002-05-31,5.8,179.5,1.75,1615.73,46868.0,-114669,1764,144938,5.15,11.8970003128052
2002-06-30,5.8,179.6,1.75,1463.21,46868.0,-114669,1717,144808,5.15,11.8970003128052
2002-07-31,5.8,180.0,1.73,1328.26,46958.0,-114854,1655,144803,5.15,11.8970003128052
2002-08-31,5.7,180.5,1.74,1314.85,46958.0,-114854,1633,145009,5.15,11.8970003128052
2002-09-30,5.7,180.8,1.75,1172.06,46958.0,-114854,1804,145552,5.15,11.8970003128052
2002-10-31,5.7,181.2,1.75,1329.75,46916.0,-123975,1648,145314,5.15,11.8970003128052
2002-11-30,5.9,181.5,1.34,1478.78,46916.0,-123975,1753,145041,5.15,11.8970003128052
2002-12-31,6.0,181.8,1.24,1335.51,46916.0,-123975,1788,145066,5.15,11.8970003128052
2003-01-31,5.8,182.600,1.24,1320.91,47078.0,-135362,1853,145937,5.15,12.3190002441406
2003-02-28,5.9,183.600,1.26,1337.52,47078.0,-135362,1629,146100,5.15,12.3190002441406
2003-03-31,5.9,183.900,1.25,1341.17,47078.0,-135362,1726,146022,5.15,12.3190002441406
2003-04-30,6.0,183.200,1.26,1464.31,47378.0,-129336,1643,146474,5.15,12.3190002441406
2003-05-31,6.1,182.900,1.26,1595.91,47378.0,-129336,1751,146500,5.15,12.3190002441406
2003-06-30,6.3,183.100,1.22,1622.80,47378.0,-129336,1867,147056,5.15,12.3190002441406
2003-07-31,6.2,183.700,1.01,1735.02,48063.0,-130105,1897,146485,5.15,12.3190002441406
2003-08-31,6.1,184.5,1.03,1810.45,48063.0,-130105,1833,146445,5.15,12.3190002441406
2003-09-30,6.1,185.100,1.01,1786.94,48063.0,-130105,1939,146530,5.15,12.3190002441406
2003-10-31,6.0,184.9,1.01,1932.21,48499.0,-127490,1967,146716,5.15,12.3190002441406
2003-11-30,5.8,185.000,1.00,1960.26,48499.0,-127490,2083,147000,5.15,12.3190002441406
2003-12-31,5.7,185.500,0.98,2003.37,48499.0,-127490,2057,146729,5.15,12.3190002441406
2004-01-31,5.7,186.300,1.00,2066.15,48663.0,-136989,1911,146842,5.15,11.7419996261597
2004-02-29,5.6,186.700,1.01,2029.82,48663.0,-136989,1846,146709,5.15,11.7419996261597
2004-03-31,5.8,187.100,1.00,1994.22,48663.0,-136989,1998,146944,5.15,11.7419996261597
2004-04-30,5.6,187.400,1.00,1920.15,48927.0,-156109,2003,146850,5.15,11.7419996261597
2004-05-31,5.6,188.200,1.00,.,48927.0,-156109,1981,147065,5.15,11.7419996261597
2004-06-30,5.6,188.900,1.03,2047.79,48927.0,-156109,1828,147460,5.15,11.7419996261597
2004-07-31,5.5,189.100,1.26,1887.36,49267.0,-161502,2002,147692,5.15,11.7419996261597
2004-08-31,5.4,189.200,1.43,1838.10,49267.0,-161502,2024,147564,5.15,11.7419996261597
2004-09-30,5.4,189.800,1.61,1896.84,49267.0,-161502,1905,147415,5.15,11.7419996261597
2004-10-31,5.5,190.8,1.76,1974.99,49637.0,-181291,2072,147793,5.15,11.7419996261597
2004-11-30,5.4,191.700,1.93,2096.81,49637.0,-181291,1782,148162,5.15,11.7419996261597
2004-12-31,5.4,191.700,2.16,2175.44,49637.0,-181291,2042,148059,5.15,11.7419996261597
2005-01-31,5.3,191.600,2.28,2062.41,50081.0,-170824,2144,148029,5.15,11.1719999313354
2005-02-28,5.4,192.400,2.50,2051.72,50081.0,-170824,2207,148364,5.15,11.1719999313354
2005-03-31,5.2,193.100,2.63,1999.23,50081.0,-170824,1864,148391,5.15,11.1719999313354
2005-04-30,5.2,193.700,2.79,1921.65,50204.0,-180642,2061,148926,5.15,11.1719999313354
2005-05-31,5.1,193.600,3.00,2068.22,50204.0,-180642,2025,149261,5.15,11.1719999313354
2005-06-30,5.0,193.700,3.04,2056.96,50204.0,-180642,2068,149238,5.15,11.1719999313354
2005-07-31,5.0,194.900,3.26,2184.83,50523.0,-188193,2054,149432,5.15,11.1719999313354
2005-08-31,4.9,196.100,3.50,2152.09,50523.0,-188193,2095,149779,5.15,11.1719999313354
2005-09-30,5.0,198.800,3.62,2151.69,50523.0,-188193,2151,149954,5.15,11.1719999313354
2005-10-31,5.0,199.100,3.78,2120.30,50715.0,-209573,2065,150001,5.15,11.1719999313354
2005-11-30,5.0,198.100,4.00,2232.82,50715.0,-209573,2147,150065,5.15,11.1719999313354
2005-12-31,4.9,198.100,4.16,2205.32,50715.0,-209573,1994,150030,5.15,11.1719999313354
2006-01-31,4.7,199.300,4.29,2305.82,51277.0,-199506,2273,150214,5.15,10.3570003509521
2006-02-28,4.8,199.400,4.49,2281.39,51277.0,-199506,2119,150641,5.15,10.3570003509521
2006-03-31,4.7,199.700,4.59,2339.79,51277.0,-199506,1969,150813,5.15,10.3570003509521
2006-04-30,4.7,200.700,4.79,2322.57,51281.0,-204953,1821,150881,5.15,10.3570003509521
2006-05-31,4.6,201.300,4.94,2178.88,51281.0,-204953,1942,151069,5.15,10.3570003509521
2006-06-30,4.6,201.800,4.99,2172.09,51281.0,-204953,1802,151354,5.15,10.3570003509521
2006-07-31,4.7,202.900,5.24,2091.47,51228.0,-218442,1737,151377,5.15,10.3570003509521
2006-08-31,4.7,203.800,5.25,2183.75,51228.0,-218442,1650,151716,5.15,10.3570003509521
2006-09-30,4.5,202.800,5.25,2258.43,51228.0,-218442,1720,151662,5.15,10.3570003509521
2006-10-31,4.4,201.900,5.25,2366.71,51532.0,-193746,1491,152041,5.15,10.3570003509521
2006-11-30,4.5,202.000,5.25,2431.77,51532.0,-193746,1570,152406,5.15,10.3570003509521
2006-12-31,4.4,203.100,5.24,2415.29,51532.0,-193746,1649,152732,5.15,10.3570003509521
2007-01-31,4.6,203.437,5.25,2463.93,51540.0,-200315,1409,153144,5.15,10.3990001678467
2007-02-28,4.5,204.226,5.26,2416.15,51540.0,-200315,1480,152983,5.15,10.3990001678467
2007-03-31,4.4,205.288,5.26,2421.64,51540.0,-200315,1495,153051,5.15,10.3990001678467
2007-04-30,4.5,205.904,5.25,2525.09,51719.0,-193334,1490,152435,5.15,10.3990001678467
2007-05-31,4.4,206.755,5.25,2604.52,51719.0,-193334,1415,152670,5.15,10.3990001678467
2007-06-30,4.6,207.234,5.25,2603.23,51719.0,-193334,1448,153041,5.15,10.3990001678467
2007-07-31,4.7,207.603,5.26,2546.27,51866.0,-175756,1354,153054,5.85,10.3990001678467
2007-08-31,4.6,207.667,5.02,2596.36,51866.0,-175756,1330,152749,5.85,10.3990001678467
2007-09-30,4.7,208.547,4.94,2701.50,51866.0,-175756,1183,153414,5.85,10.3990001678467
2007-10-31,4.7,209.190,4.76,2859.12,52049.0,-167144,1264,153183,5.85,10.3990001678467
2007-11-30,4.7,210.834,4.49,2660.96,52049.0,-167144,1197,153835,5.85,10.3990001678467
2007-12-31,5.0,211.445,4.24,2652.28,52049.0,-167144,1037,153918,5.85,10.3990001678467
2008-01-31,5.0,212.174,3.94,2389.86,51637.0,-182284,1084,154063,5.85,12.6800003051758
2008-02-29,4.9,212.687,2.98,2271.48,51637.0,-182284,1103,153653,5.85,12.6800003051758
2008-03-31,5.1,213.448,2.61,2279.10,51637.0,-182284,1005,153908,5.85,12.6800003051758
2008-04-30,5.0,213.942,2.28,2412.80,51790.0,-179816,1013,153769,5.85,12.6800003051758
2008-05-31,5.4,215.208,1.98,2522.66,51790.0,-179816,973,154303,5.85,12.6800003051758
2008-06-30,5.6,217.463,2.00,2292.98,51790.0,-179816,1046,154313,5.85,12.6800003051758
2008-07-31,5.8,219.016,2.01,2325.55,51384.0,-178194,923,154469,6.55,12.6800003051758
2008-08-31,6.1,218.690,2.00,2367.52,51384.0,-178194,844,154641,6.55,12.6800003051758
2008-09-30,6.1,218.877,1.81,2082.33,51384.0,-178194,820,154570,6.55,12.6800003051758
2008-10-31,6.5,216.995,0.97,1720.95,50154.0,-156229,777,154876,6.55,12.6800003051758
2008-11-30,6.8,213.153,0.39,1535.57,50154.0,-156229,652,154639,6.55,12.6800003051758
2008-12-31,7.3,211.398,0.16,1577.03,50154.0,-156229,560,154655,6.55,12.6800003051758
2009-01-31,7.8,211.933,0.15,1476.42,49491.0,-99402,490,154210,6.55,17.4419994354248
2009-02-28,8.3,212.705,0.22,1377.84,49491.0,-99402,582,154538,6.55,17.4419994354248
2009-03-31,8.7,212.495,0.18,1528.59,49491.0,-99402,505,154133,6.55,17.4419994354248
2009-04-30,9.0,212.709,0.15,1717.30,49318.0,-87089,478,154509,6.55,17.4419994354248
2009-05-31,9.4,213.022,0.18,1774.33,49318.0,-87089,540,154747,6.55,17.4419994354248
2009-06-30,9.5,214.790,0.21,1835.04,49318.0,-87089,585,154716,6.55,17.4419994354248
2009-07-31,9.5,214.726,0.16,1978.50,49384.0,-91384,594,154502,7.25,17.4419994354248
2009-08-31,9.6,215.445,0.16,2009.06,49384.0,-91384,586,154307,7.25,17.4419994354248
2009-09-30,9.8,215.861,0.15,2122.42,49384.0,-91384,585,153827,7.25,17.4419994354248
2009-10-31,10.0,216.509,0.12,2045.11,49811.0,-101854,534,153784,7.25,17.4419994354248
2009-11-30,9.9,217.234,0.12,2144.60,49811.0,-101854,588,153878,7.25,17.4419994354248
2009-12-31,9.9,217.347,0.12,2269.15,49811.0,-101854,581,153111,7.25,17.4419994354248
2010-01-31,9.8,217.488,0.11,2147.35,49903.0,-103034,614,153484,7.25,18.2929992675781
2010-02-28,9.8,217.281,0.13,2238.26,49903.0,-103034,604,153694,7.25,18.2929992675781
2010-03-31,9.9,217.353,0.16,2397.96,49903.0,-103034,636,153954,7.25,18.2929992675781
2010-04-30,9.9,217.403,0.20,2461.19,50272.0,-111736,687,154622,7.25,18.2929992675781
2010-05-31,9.6,217.290,0.20,.,50272.0,-111736,583,154091,7.25,18.2929992675781
2010-06-30,9.4,217.199,0.18,2109.24,50272.0,-111736,536,153616,7.25,18.2929992675781
2010-07-31,9.4,217.605,0.18,2254.70,50545.0,-116619,546,153691,7.25,18.2929992675781
2010-08-31,9.5,217.923,0.19,2114.03,50545.0,-116619,599,154086,7.25,18.2929992675781
2010-09-30,9.5,218.275,0.19,2368.62,50545.0,-116619,594,153975,7.25,18.2929992675781
2010-10-31,9.4,219.035,0.19,2507.41,50698.0,-100621,543,153635,7.25,18.2929992675781
2010-11-30,9.8,219.590,0.19,2498.23,50698.0,-100621,545,154125,7.25,18.2929992675781
2010-12-31,9.3,220.472,0.18,2652.87,50698.0,-100621,539,153650,7.25,18.2929992675781
2011-01-31,9.1,221.187,0.17,2700.08,50495.0,-119236,630,153263,7.25,17.1949996948242
2011-02-28,9.0,221.898,0.16,2782.27,50495.0,-119236,517,153214,7.25,17.1949996948242
2011-03-31,9.0,223.046,0.14,2781.07,50495.0,-119236,600,153376,7.25,17.1949996948242
2011-04-30,9.1,224.093,0.10,2873.54,50773.0,-119435,554,153543,7.25,17.1949996948242
2011-05-31,9.0,224.806,0.09,2835.30,50773.0,-119435,561,153479,7.25,17.1949996948242
2011-06-30,9.1,224.806,0.09,2773.52,50773.0,-119435,608,153346,7.25,17.1949996948242
2011-07-31,9.0,225.395,0.07,2756.38,50660.0,-106860,623,153288,7.25,17.1949996948242
2011-08-31,9.0,226.106,0.10,2579.46,50660.0,-106860,585,153760,7.25,17.1949996948242
2011-09-30,9.0,226.597,0.08,2415.40,50660.0,-106860,650,154131,7.25,17.1949996948242
2011-10-31,8.8,226.750,0.07,2684.41,51150.0,-109771,610,153961,7.25,17.1949996948242
2011-11-30,8.6,227.169,0.08,2620.34,51150.0,-109771,711,154128,7.25,17.1949996948242
2011-12-31,8.5,227.223,0.07,2605.15,51150.0,-109771,694,153995,7.25,17.1949996948242
2012-01-31,8.3,227.842,0.08,2813.84,51468.0,-113896,723,154381,7.25,16.4020004272461
2012-02-29,8.3,228.329,0.10,2966.89,51468.0,-113896,704,154671,7.25,16.4020004272461
2012-03-31,8.2,228.807,0.13,3091.57,51468.0,-113896,695,154749,7.25,16.4020004272461
2012-04-30,8.2,229.187,0.14,3046.36,51607.0,-109987,753,154545,7.25,16.4020004272461
2012-05-31,8.2,228.713,0.16,2827.34,51607.0,-109987,708,154866,7.25,16.4020004272461
2012-06-30,8.2,228.524,0.16,2935.06,51607.0,-109987,757,155083,7.25,16.4020004272461
2012-07-31,8.2,228.590,0.16,2939.52,51578.0,-98850,740,154948,7.25,16.4020004272461
2012-08-31,8.1,229.918,0.13,3066.96,51578.0,-98850,754,154763,7.25,16.4020004272461
2012-09-30,7.8,231.015,0.14,3116.23,51578.0,-98850,847,155160,7.25,16.4020004272461
2012-10-31,7.8,231.638,0.16,2977.23,51539.0,-95382,915,155554,7.25,16.4020004272461
2012-11-30,7.7,231.249,0.16,3010.24,51539.0,-95382,833,155338,7.25,16.4020004272461
2012-12-31,7.9,231.221,0.16,3019.51,51539.0,-95382,976,155628,7.25,16.4020004272461
2013-01-31,8.0,231.679,0.14,3142.13,51921.0,-90293,888,155763,7.25,15.4300003051758
2013-02-28,7.7,232.937,0.15,3160.19,51921.0,-90293,962.0,155312,7.25,15.4300003051758
2013-03-31,7.5,232.282,0.14,.,51921.0,-90293,1010.0,155005,7.25,15.4300003051758
2013-04-30,7.6,231.797,0.15,3328.79,51906.0,-88493,835.0,155394,7.25,15.4300003051758
2013-05-31,7.5,231.893,0.11,3455.91,51906.0,-88493,930.0,155536,7.25,15.4300003051758
2013-06-30,7.5,232.445,0.09,3403.25,51906.0,-88493,839.0,155749,7.25,15.4300003051758
2013-07-31,7.3,232.900,0.09,3626.37,52212.0,-84691,880.0,155599,7.25,15.4300003051758
2013-08-31,7.2,233.456,0.08,3589.87,52212.0,-84691,917.0,155605,7.25,15.4300003051758
2013-09-30,7.2,233.544,0.08,3771.48,52212.0,-84691,850.0,155687,7.25,15.4300003051758
2013-10-31,7.2,233.669,0.09,3919.71,52526.0,-73377,925.0,154673,7.25,15.4300003051758
2013-11-30,6.9,234.100,0.08,4059.89,52526.0,-73377,1100.0,155265,7.25,15.4300003051758
2013-12-31,6.7,234.719,0.09,4176.59,52526.0,-73377,1002.0,155182,7.25,15.4300003051758
2014-01-31,6.6,235.288,0.07,4103.88,52293.0,-90219,888.0,155352,7.25,13.2840003967285
2014-02-28,6.7,235.547,0.07,4308.12,52293.0,-90219,944.0,155483,7.25,13.2840003967285
2014-03-31,6.7,236.028,0.08,4198.99,52293.0,-90219,970.0,156028,7.25,13.2840003967285
2014-04-30,6.2,236.468,0.09,4114.56,52913.0,-86551,1043.0,155369,7.25,13.2840003967285
2014-05-31,6.3,236.918,0.09,4242.62,52913.0,-86551,1007.0,155684,7.25,13.2840003967285
2014-06-30,6.1,237.231,0.10,4408.18,52913.0,-86551,911.0,155707,7.25,13.2840003967285
2014-07-31,6.2,237.498,0.09,4369.77,53452.0,-88671,1085.0,156007,7.25,13.2840003967285
2014-08-31,6.1,237.460,0.09,4580.27,53452.0,-88671,984.0,156130,7.25,13.2840003967285
2014-09-30,5.9,237.477,0.09,4493.39,53452.0,-88671,1023.0,156040,7.25,13.2840003967285
2014-10-31,5.7,237.430,0.09,4630.74,53646.0,-102378,1074.0,156417,7.25,13.2840003967285
2014-11-30,5.8,236.983,0.09,4791.63,53646.0,-102378,1001.0,156494,7.25,13.2840003967285
2014-12-31,5.6,236.252,0.12,4736.05,53646.0,-102378,1073.0,156332,7.25,13.2840003967285
2015-01-31,5.7,234.747,0.11,4635.24,54071.0,-99045,1085.0,157030,7.25,11.5120000839233
2015-02-28,5.5,235.342,0.11,4963.53,54071.0,-99045,886.0,156644,7.25,11.5120000839233
2015-03-31,5.4,235.976,0.11,4900.89,54071.0,-99045,960.0,156643,7.25,11.5120000839233
2015-04-30,5.4,236.222,0.12,4941.42,54348.0,-99318,1190.0,157060,7.25,11.5120000839233
2015-05-31,5.6,237.001,0.12,5070.03,54348.0,-99318,1079.0,157651,7.25,11.5120000839233
2015-06-30,5.3,237.657,0.13,4986.87,54348.0,-99318,1205.0,157062,7.25,11.5120000839233
2015-07-31,5.2,238.034,0.13,5128.28,54439.0,-109638,1146.0,156997,7.25,11.5120000839233
2015-08-31,5.1,238.033,0.14,4776.51,54439.0,-109638,1130.0,157172,7.25,11.5120000839233
2015-09-30,5.0,237.498,0.14,4620.16,54439.0,-109638,1224.0,156733,7.25,11.5120000839233
2015-10-31,5.0,237.733,0.12,5053.75,54420.0,-99354,1058.0,157167,7.25,11.5120000839233
2015-11-30,5.1,238.017,0.12,5108.67,54420.0,-99354,1172.0,157463,7.25,11.5120000839233
2015-12-31,5.0,237.761,0.24,5007.41,54420.0,-99354,1146.0,158035,7.25,11.5120000839233
2016-01-31,4.9,237.827,0.34,4613.95,54640.0,-103250,1103.0,158342,7.25,10.3179998397827
2016-02-29,4.9,237.514,0.38,4557.95,54640.0,-103250,1203.0,158653,7.25,10.3179998397827
2016-03-31,5.0,237.990,0.36,4869.85,54640.0,-103250,1114.0,159103,7.25,10.3179998397827
2016-04-30,5.0,238.835,0.37,4775.36,54722.0,-98979,1158.0,158981,7.25,10.3179998397827
2016-05-31,4.8,239.440,0.37,4948.05,54722.0,-98979,1131.0,158787,7.25,10.3179998397827
2016-06-30,4.9,240.144,0.38,4842.67,54722.0,-98979,1200.0,158973,7.25,10.3179998397827
2016-07-31,4.8,240.111,0.39,5162.13,54918.0,-98931,1245.0,159123,7.25,10.3179998397827
2016-08-31,4.9,240.595,0.40,5213.22,54918.0,-98931,1155.0,159579,7.25,10.3179998397827
2016-09-30,5.0,241.068,0.40,5312.00,54918.0,-98931,1072.0,159817,7.25,10.3179998397827
2016-10-31,4.9,241.641,0.40,5189.13,55165.0,-93705,1321.0,159734,7.25,10.3179998397827
2016-11-30,4.7,241.993,0.41,5323.68,55165.0,-93705,1150.0,159551,7.25,10.3179998397827
2016-12-31,4.7,242.712,0.54,5383.12,55165.0,-93705,1267.0,159710,7.25,10.3179998397827
2017-01-31,4.7,243.717,0.65,5614.79,55401.0,-83894,1206.0,159647,7.25,9.13700008392334
2017-02-28,4.6,244.028,0.66,5825.44,55401.0,-83894,1282.0,159767,7.25,9.13700008392334
2017-03-31,4.4,243.721,0.79,5911.74,55401.0,-83894,1186.0,160066,7.25,9.13700008392334
2017-04-30,4.4,244.058,0.90,6047.61,55560.0,-102359,1150.0,160309,7.25,9.13700008392334
2017-05-31,4.4,243.926,0.91,6198.52,55560.0,-102359,1123.0,160060,7.25,9.13700008392334
2017-06-30,4.3,244.179,1.04,6140.42,55560.0,-102359,1243.0,160232,7.25,9.13700008392334
2017-07-31,4.3,244.328,1.15,6348.12,55874.0,-86234,1207.0,160339,7.25,9.13700008392334
2017-08-31,4.4,245.304,1.16,6428.66,55874.0,-86234,1163.0,160690,7.25,9.13700008392334
2017-09-30,4.2,246.445,1.15,6495.96,55874.0,-86234,1174.0,161212,7.25,9.13700008392334
2017-10-31,4.1,246.570,1.15,6727.67,56324.0,-92782,1256.0,160378,7.25,9.13700008392334
2017-11-30,4.2,247.333,1.16,6873.97,56324.0,-92782,1300.0,160510,7.25,9.13700008392334
2017-12-31,4.1,247.847,1.30,6903.39,56324.0,-92782,1199.0,160538,7.25,9.13700008392334
2018-01-31,4.1,248.816,1.41,7411.48,56785.0,-96587,1314.0,161068,7.25,8.51700019836426
2018-02-28,4.1,249.475,1.42,7273.01,56785.0,-96587,1288.0,161783,7.25,8.51700019836426
2018-03-31,4.0,249.413,1.51,.,56785.0,-96587,1335.0,161684,7.25,8.51700019836426
2018-04-30,4.0,249.957,1.69,7066.266,57099.0,-95414,1269.0,161742,7.25,8.51700019836426
2018-05-31,3.8,250.640,1.70,7442.117,57099.0,-95414,1334.0,161874,7.25,8.51700019836426
2018-06-30,4.0,251.176,1.82,7510.305,57099.0,-95414,1190.0,162269,7.25,8.51700019836426
2018-07-31,3.8,251.482,1.91,7671.789,57317.0,-125241,1195.0,162173,7.25,8.51700019836426
2018-08-31,3.8,251.905,1.91,8109.535,57317.0,-125241,1280.0,161768,7.25,8.51700019836426
2018-09-30,3.7,252.261,1.95,8046.352,57317.0,-125241,1246.0,162078,7.25,8.51700019836426
2018-10-31,3.8,252.777,2.19,7305.898,57429.0,-132452,1207.0,162605,7.25,8.51700019836426
2018-11-30,3.7,252.662,2.20,7330.535,57429.0,-132452,1204.0,162662,7.25,8.51700019836426
2018-12-31,3.9,252.653,2.27,6635.277,57429.0,-132452,1117.0,163111,7.25,8.51700019836426
